Attribute,Recent
companyOfficers,"[{'maxAge': 1, 'name': 'Mr. Arvind  Krishna', 'age': 60, 'title': 'CEO & Chairman of the Board', 'yearBorn': 1963, 'fiscalYear': 2023, 'totalPay': 5551874, 'exercisedValue': 0, 'unexercisedValue': 1410671}, {'maxAge': 1, 'name': 'Mr. Gary D. Cohn', 'age': 62, 'title': 'Executive Vice Chairman', 'yearBorn': 1961, 'fiscalYear': 2023, 'totalPay': 3215165, 'exercisedValue': 0, 'unexercisedValue': 743790}, {'maxAge': 1, 'name': 'Mr. James J. Kavanaugh', 'age': 56, 'title': 'Senior VP & CFO', 'yearBorn': 1967, 'fiscalYear': 2023, 'totalPay': 3021799, 'exercisedValue': 0, 'unexercisedValue': 923335}, {'maxAge': 1, 'name': 'Ms. Michelle H. Browdy', 'age': 58, 'title': 'Senior VP of Legal & Regulatory Affairs and General Counsel', 'yearBorn': 1965, 'fiscalYear': 2023, 'totalPay': 2610647, 'exercisedValue': 0, 'unexercisedValue': 512947}, {'maxAge': 1, 'name': 'Mr. Robert D. Thomas', 'age': 48, 'title': 'Senior VP of Software & Chief Commercial Officer', 'yearBorn': 1975, 'fiscalYear': 2023, 'totalPay': 2788478, 'exercisedValue': 0, 'unexercisedValue': 718141}, {'maxAge': 1, 'name': 'Ms. Joanne  Wright', 'title': 'Senior Vice President of Transformation & Operations', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Alexander Franz Stern', 'age': 57, 'title': 'Senior VP of Strategy, M&A, Corporate Development and Investor Relations', 'yearBorn': 1966, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Jonathan H. Adashek', 'title': 'Senior VP of Marketing & Communications', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Nickle Jaclyn LaMoreaux', 'age': 43, 'title': 'Senior VP & Chief Human Resources Officer', 'yearBorn': 1980, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Dr. Bernard S. Meyerson Ph.D.', 'title': 'Chief Innovation Officer Emeritus', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}]"
auditRisk,2
boardRisk,6
compensationRisk,5
shareHolderRightsRisk,4
overallRisk,3
governanceEpochDate,1714521600
compensationAsOfEpochDate,1703980800
irWebsite,http://www.ibm.com/investor/?lnk=ftif
maxAge,86400
priceHint,2
previousClose,168.97
open,168.97
dayLow,167.3307
dayHigh,169.11
regularMarketPreviousClose,168.97
regularMarketOpen,168.97
regularMarketDayLow,167.3307
regularMarketDayHigh,169.11
dividendRate,6.68
dividendYield,0.0395
exDividendDate,1715212800
payoutRatio,0.7528
fiveYearAvgDividendYield,4.84
beta,0.745
trailingPE,19.1644
forwardPE,16.237272
volume,2951745
regularMarketVolume,2951745
averageVolume,4418755
averageVolume10days,3335270
averageDailyVolume10Day,3335270
bid,168.62
ask,168.64
bidSize,800
askSize,2200
marketCap,155271462912
fiftyTwoWeekLow,125.01
fiftyTwoWeekHigh,199.18
priceToSalesTrailing12Months,2.5015945
fiftyDayAverage,181.456
twoHundredDayAverage,163.88104
trailingAnnualDividendRate,6.64
trailingAnnualDividendYield,0.039296914
currency,USD
enterpriseValue,199099416576
profitMargins,0.13179
floatShares,916636856
sharesOutstanding,918603008
sharesShort,20459339
sharesShortPriorMonth,23288842
sharesShortPreviousMonthDate,1711584000
dateShortInterest,1714435200
sharesPercentSharesOut,0.0223
heldPercentInsiders,0.00114
heldPercentInstitutions,0.61324
shortRatio,4.58
shortPercentOfFloat,0.0223
impliedSharesOutstanding,919699968
bookValue,25.322
priceToBook,6.675223
lastFiscalYearEnd,1703980800
nextFiscalYearEnd,1735603200
mostRecentQuarter,1711843200
earningsQuarterlyGrowth,0.731
netIncomeToCommon,8154999808
trailingEps,8.82
forwardEps,10.41
pegRatio,5.32
lastSplitFactor,1046:1000
lastSplitDate,1635984000
enterpriseToRevenue,3.208
enterpriseToEbitda,13.846
52WeekChange,0.32572544
SandP52WeekChange,0.26490295
lastDividendValue,1.67
lastDividendDate,1715212800
exchange,NYQ
quoteType,EQUITY
symbol,IBM
underlyingSymbol,IBM
shortName,International Business Machines
longName,International Business Machines Corporation
firstTradeDateEpochUtc,-252322200
timeZoneFullName,America/New_York
timeZoneShortName,EDT
uuid,cbf44511-d041-3c6d-9dd7-3cc0c033122c
messageBoardId,finmb_112350
gmtOffSetMilliseconds,-14400000
currentPrice,169.03
targetHighPrice,215.0
targetLowPrice,130.0
targetMeanPrice,181.57
targetMedianPrice,190.0
recommendationMean,2.5
recommendationKey,buy
numberOfAnalystOpinions,16
totalCash,19114999808
totalCashPerShare,20.809
ebitda,14380000256
totalDebt,62870999040
quickRatio,0.965
currentRatio,1.132
totalRevenue,62068998144
debtToEquity,269.451
revenuePerShare,67.937
returnOnAssets,0.045819998
returnOnEquity,0.36240003
freeCashflow,11027375104
operatingCashflow,14325000192
earningsGrowth,0.701
revenueGrowth,0.015
grossMargins,0.55635
ebitdaMargins,0.23167999
operatingMargins,0.102139995
financialCurrency,USD
trailingPegRatio,3.3806
